ID_KLASY,ID_TOWARU,ID_KLASY_NADRZ,TYP,NAZWA_KLASY,ID_KLASYFIKACJI,CZY_OBOWIAZKOWA,ID_KLASY_CENTR,CZY_IMP_Z_CENTR,CZY_KLASYFIKACJA_ZEWNETRZNA,CZY_DEFINICJA_CECH_DODATK,TS,CZY_AKTYWNY
14569,,13056,N,17.23.01.06 Pozostałe artykuły strzeleckie,10442,N,A4F0F470-578E-4BAE-B87D-FB530F3E1EDA,false,true,false,0x0000000000071916,true
14570,,13058,N,17.23.03.06 Latarki i noktowizory,10442,N,4C3A1653-846F-4207-A864-30EEE9323F4E,false,true,false,0x0000000000071917,true
14571,,13058,N,17.23.03.07 Pozostałe artukuły outdoorowe,10442,N,66DE1297-6D7F-4AFD-8AC8-FA3C29F54A92,false,true,false,0x0000000000071918,true
14572,,12926,N,01.01.02.02 Wapno nawozowe,10442,N,E0BDE72B-2C3F-46DF-8A5B-844CBAEA43AD,false,true,false,0x0000000000071919,true
14573,,12969,N,06.02.01.04 Pompy WC,10442,N,6CE00036-C253-4EC4-81F8-9AA1BEE9BB64,false,true,false,0x000000000007191A,true
14574,,13057,N,17.23.02.04 Broń hukowa i gazowa,10442,N,11111460-3A96-435E-99DD-0EEB5EC86241,false,true,false,0x000000000007191B,true
14575,,13057,N,17.23.02.05 Pozostałe artykuły do samoobrony,10442,N,C9CDEB2D-A254-4CC2-9BDC-C1B711FF1624,false,true,false,0x000000000007191C,true
14576,,13228,N,10.04.02.04 Toalety turystyczne,10442,N,9C24E152-66A6-4E9E-8D26-AA14025636C1,false,true,false,0x000000000007191D,true
14577,,13230,N,10.05.01.02 Akcesoria do wanien stalowych,10442,N,EF4D6AD6-643D-4731-B533-011E10294A3E,false,true,false,0x000000000007191E,true
14578,,13008,N,12.01.03.01 Parkiet,10442,N,43A9C9ED-1847-4AA2-996C-E0B9B77FCB49,false,true,false,0x000000000007191F,true
14579,,13058,N,17.23.03.04 Wykrywacze metali,10442,N,1476CB2C-355C-4B3A-BF69-47B0708D8142,false,true,false,0x0000000000071920,true
14580,,13058,N,"17.23.03.05 Lornetki, teleskopy, dalmierze",10442,N,4B6AEF2D-33C0-4521-962A-96ECF9F11437,false,true,false,0x0000000000071921,true
14581,,13239,N,14.03.02.02 Poręcze balkonowe,10442,N,55E1F36A-D0E4-4654-A26C-F15343CD82EF,false,true,false,0x0000000000071922,true
14582,,13239,N,14.03.02.03 Cokoły,10442,N,E01B9DD4-6A36-46DD-98EF-B51127923F24,false,true,false,0x0000000000071923,true
14583,,13239,N,14.03.02.07 Progi drewniane,10442,N,D0504A5D-E6F8-4153-B769-F838670E89FA,false,true,false,0x0000000000071924,true
14584,,13135,N,"18.01.03.05 Szyny, Akcesoria do zasłon panelowych",10442,N,023210A8-3270-43DC-920A-B11E9EEB5746,false,true,false,0x0000000000071925,true
14585,,12957,N,06.04.01.03 Ogrzewacze pojemnościowe gazowe,10442,N,CD3D4A9A-6B86-447F-9AFE-DF05336EF079,false,true,false,0x0000000000071926,true
14586,,13184,N,08.01.02.03 Drzwi zewnętrzne z PCV,10442,N,C4DA66DC-3847-460C-88A9-95DF208A8393,false,true,false,0x0000000000071927,true
14587,,13116,N,18.05.02.04 Klej do elementów dekoracyjnych,10442,N,61519DE0-C87D-4D3A-9403-6804B87C6FCD,false,true,false,0x0000000000071928,true
14588,,13118,N,18.05.04.03 Brokat,10442,N,9EE90FDC-AE14-439A-A9EC-1364B342105C,false,true,false,0x0000000000071929,true
14589,,13107,N,18.05.05.04 Plakaty,10442,N,D5D6CDD2-D321-4B57-96A9-A122742D9920,false,true,false,0x000000000007192A,true
14590,,13156,N,18.06.01.03 Płyty dekoracyjne,10442,N,FFB37A4C-208C-4D0C-B8A9-A9993A6175BB,false,true,false,0x000000000007192B,true
14591,,13249,N,14.02.01.01 Drewno klejone,10442,N,F93EE0EE-6F4D-41AF-AF3B-3A57E02B384B,false,true,false,0x000000000007192C,true
14592,,13250,N,14.03.01.04 Bale drewniane,10442,N,F5EE3445-6861-429F-AB85-A862D8694C7A,false,true,false,0x000000000007192D,true
14593,,13349,N,19.08.01.07 Maszyny do szycia,10442,N,A6D29A24-EE11-405A-A37F-4938A7D317F7,false,true,false,0x000000000007192E,true
