ID_TOWARU,ID_MAGAZYNU,ILOSC,ILOSC_ZAREZERWOWANA
000289,M1S,274.0000,0.0000
000290,M1S,327.0000,0.0000
000291,M1S,120.0000,0.0000
000293,M1S,3.0000,0.0000
000294,M1S,1.0000,0.0000
000295,M1S,169.0000,0.0000
000296,M1S,2.0000,0.0000
000297,M1S,1.0000,0.0000
000298,M1S,1.0000,0.0000
000299,M1S,35.0000,0.0000
000300,M1S,0.0000,0.0000
000301,M1S,5.0000,0.0000
000302,M1S,0.6500,0.0000
000303,M1S,2.0000,0.0000
000304,M1S,1.0000,0.0000
000305,M1S,409.0000,0.0000
000306,M1S,1.0000,0.0000
000307,M1S,2.0000,0.0000
000309,M1S,2460.0000,0.0000
000310,M1S,215.0000,0.0000
000311,M1S,150.0000,0.0000
000312,M1S,1500.0000,0.0000
000313,M1S,4.0000,0.0000
000314,M1S,21.0000,0.0000
000315,M1S,7.0000,0.0000
000316,M1P,0.0000,0.0000
000316,M1S,1196.0000,0.0000
000317,M1S,10.0000,0.0000
000318,M1S,5.0000,0.0000
000319,M1S,6.0000,0.0000
000320,M1S,7.0000,0.0000
000321,M1S,6.0000,0.0000
000322,M1S,5.0000,0.0000
000323,M1S,4.0000,0.0000
000324,M1S,10.0000,0.0000
000325,M1S,9.0000,0.0000
000326,M1S,1.0000,0.0000
000327,M1S,1.0000,0.0000
000328,M1S,69.0000,0.0000
000329,M1S,142.0000,0.0000
000330,M1S,142.0000,0.0000
000331,M1S,3.0000,0.0000
000332,M1S,9.0000,0.0000
000333,M1S,5.0000,0.0000
000334,M1S,5.0000,0.0000
000335,M1S,0.0000,0.0000
000336,M1S,2.0000,0.0000
000337,M1S,31.0000,0.0000
000338,M1S,2.0000,0.0000
000339,M1S,1.0000,0.0000
000340,M1S,83.0000,0.0000
000341,M1S,5.0000,0.0000
000342,M1S,2.0000,0.0000
000343,M1S,0.0000,0.0000
000344,M1S,135.0000,0.0000
000345,M1S,95.0000,0.0000
000346,M1S,121.0000,0.0000
000347,M1S,3.0000,0.0000
000348,M1S,98.0000,0.0000
000349,M1S,143.0000,0.0000
000350,M1S,2.0000,0.0000
000351,M1S,2.0000,0.0000
000352,M1S,3.0000,0.0000
000353,M1S,4.0000,0.0000
000354,M1S,7.0000,0.0000
000356,M1S,109.0000,0.0000
000357,M1S,6.0000,0.0000
000358,M1S,0.0000,0.0000
000359,M1S,7.0000,0.0000
000360,M1S,10.0000,0.0000
000361,M1S,4.0000,0.0000
000362,M1S,4.0000,0.0000
000363,M1S,1.0000,0.0000
000364,M1S,2.0000,0.0000
000365,M1S,1.0000,0.0000
000366,M1S,1.0000,0.0000
000367,M1S,1.0000,0.0000
000368,M1S,1.0000,0.0000
000369,M1S,1.0000,0.0000
000370,M1S,2.0000,0.0000
000371,M1S,14.0000,0.0000
000372,M1S,16.0000,0.0000
000373,M1S,69.0000,0.0000
000374,M1S,60.0000,0.0000
000375,M1S,59.0000,0.0000
000376,M1S,54.0000,0.0000
000377,M1S,13.0000,0.0000
000378,M1S,28.0000,0.0000
000379,M1S,6.0000,0.0000
000380,M1S,24.0000,0.0000
000381,M1S,27.0000,0.0000
000382,M1S,35.0000,0.0000
000383,M1S,32.0000,0.0000
000384,M1S,19.0000,0.0000
000385,M1S,7.0000,0.0000
000386,M1S,44.0000,0.0000
000387,M1S,10.0000,0.0000
000388,M1S,11.0000,0.0000
000389,M1S,45.0000,0.0000
000390,M1S,22.0000,0.0000
000391,M1S,36.0000,0.0000
000392,M1S,24.0000,0.0000
000393,M1S,10.0000,0.0000
000394,M1S,20.0000,0.0000
000395,M1S,19.0000,0.0000
000396,M1S,12.0000,0.0000
000397,M1S,14.0000,0.0000
000398,M1S,21.0000,0.0000
000399,M1S,59.0000,0.0000
000400,M1S,38.0000,0.0000
000402,M1S,13.0000,0.0000
000403,M1S,9.0000,0.0000
000404,M1S,1.0000,0.0000
000406,M1S,6.0000,0.0000
000407,M1S,10.0000,0.0000
000408,M1S,6.0000,0.0000
000409,M1S,12.0000,0.0000
000410,M1S,6.0000,0.0000
000411,M1S,0.0000,0.0000
000412,M1S,11.0000,0.0000
000413,M1S,1.0000,0.0000
000414,M1S,31.0000,0.0000
000417,M1S,15.0000,0.0000
000418,M1S,14.0000,0.0000
000419,M1S,10.0000,0.0000
000420,M1S,546.0000,0.0000
000421,M1S,770.0000,0.0000
000423,M1S,5.0000,0.0000
000424,M1S,25.0000,0.0000
000425,M1S,43.0000,0.0000
000426,M1S,1.0000,0.0000
000428,M1S,16.0000,0.0000
000429,M1S,7.0000,0.0000
000430,M1S,0.0000,0.0000
000431,M1S,24.0000,0.0000
000432,M1S,2.0000,0.0000
000433,M1S,8.0000,0.0000
000434,M1S,7.0000,0.0000
000435,M1S,1.0000,0.0000
000436,M1S,6.0000,0.0000
